Datum Zeit; Annaberg-Buchholz PM10; Bautzen PM10; Borna PM10; Brockau PM10
; µg/m³; µg/m³; µg/m³; µg/m³
09-07-16; 15; 16; 11; 25
08-07-16; 16; 19; 11; 23
07-07-16; 12; 15; 8; 20
06-07-16; 10; 12; 7; 16
05-07-16; 12; 15; 8; 19
04-07-16; 11; 12; 5; 15
03-07-16; 11; 10; 4; 9
02-07-16; 12; 16; 7; 14
01-07-16; 14; 17; 8; 19
30-06-16; 13; 15; 6; 19
29-06-16; 10; 16; 7; 15
28-06-16; 12; 13; 7; 19
27-06-16; 12; 17; 7; 15
26-06-16; 10; 12; 6; 13
25-06-16; 20; 31; 17; 23
24-06-16; 20; 29; 14; 30
23-06-16; 14; 17; 10; 29
22-06-16; 11; 15; 7; 19
21-06-16; 11; 17; 5; 16
20-06-16; 16; 18; 7; 21
19-06-16; 13; 11; 5; 14
18-06-16; 11; 12; 4; 12
17-06-16; 11; 10; 4; 13
16-06-16; 12; 13; 7; 17
15-06-16; 11; 15; 5; 15
14-06-16; 13; 15; 6; 16
13-06-16; 15; 18; 6; 22
12-06-16; 15; 18; 7; 20
11-06-16; 19; 19; 8; 26
10-06-16; 19; 21; 10; 24
09-06-16; 26; 23; 16; 27
08-06-16; 20; 21; 11; 31
07-06-16; 16; 17; 11; 26
06-06-16; 19; 13; 13; 30
05-06-16; 20; 20; 14; 33
04-06-16; 19; 23; 11; 35
03-06-16; 15; 19; 8; 27
02-06-16; 12; 14; 9; 21
01-06-16; 18; 18; 9; 26
31-05-16; 11; 17; 6; 22
30-05-16; 14; 21; 5; 21
29-05-16; 22; 19; 16; 29
28-05-16; 23; 17; 14; 31
27-05-16; 26; 21; 15; 47
26-05-16; 22; 31; 9; 41
25-05-16; 24; 19; 6; 31
24-05-16; 22; 22; 4; 21
23-05-16; 13; 26; 7; 19
22-05-16; 17; 18; 11; 20
21-05-16; 16; 22; 9; 23
20-05-16; 16; 25; 8; 21
19-05-16; 18; 24; 12; 24
18-05-16; 17; 29; 11; 26
17-05-16; 15; 17; 9; 20
16-05-16; 10; 9; 6; 9
15-05-16; 10; 8; 5; 10
14-05-16; 19; 17; 13; 20
13-05-16; 20; 19; 14; 24
12-05-16; 17; 25; 11; 33
11-05-16; 20; 20; 13; 33
10-05-16; 18; 18; 13; 30
09-05-16; 14; 16; 10; 33
08-05-16; 15; 16; 10; 22
07-05-16; 19; 25; 14; 28
06-05-16; 21; 24; 14; 32
05-05-16; 18; 24; 9; 20
04-05-16; 17; 14; 10; 24
03-05-16; 20; 25; 13; 34
02-05-16; 24; 25; 18; 32
01-05-16; 41; 32; 23; 28
30-04-16; 51; 28; 14; 29
29-04-16; 21; 20; 9; 18
28-04-16; 16; 14; 7; 17
27-04-16; 12; 14; 7; 14
26-04-16; 7; 12; 4; 11
25-04-16; 10; 14; 7; 14
24-04-16; 9; 8; 6; 12
23-04-16; 20; 21; 12; 21
22-04-16; 25; 23; 15; 28
21-04-16; 24; 30; 12; 48
20-04-16; 17; 19; 11; 30
19-04-16; 19; 22; 13; 26
18-04-16; 18; 20; 9; 23
17-04-16; 15; 10; 4; 15
16-04-16; 8; 12; 5; 10
15-04-16; 17; 21; 8; 22
14-04-16; 25; 19; 15; 39
13-04-16; 16; 28; 10; 37
12-04-16; 31; 45; 19; 42
11-04-16; 28; 25; 13; 38
10-04-16; 24; 12; 12; 23
09-04-16; 24; 25; 12; 32
08-04-16; 21; 21; 11; 24
07-04-16; 13; 18; 8; 17
06-04-16; 15; 20; 8; 20
05-04-16; 31; 46; 21; 49
04-04-16; 40; 43; 22; 69
03-04-16; 32; 23; 17; 43
02-04-16; 26; 24; 14; 28
01-04-16; 17; 18; 5; 23
31-03-16; 16; 19; 9; 22
30-03-16; 11; 11; 9; 15
29-03-16; 9; 8; 4; 14
28-03-16; 10; 14; 5; 8
27-03-16; 15; 20; 9; 16
26-03-16; 18; 20; 6; 20
25-03-16; 22; 30; 14; 25
24-03-16; 29; 26; 12; 38
23-03-16; 19; 22; 11; 29
22-03-16; 20; 13; 10; 21
21-03-16; 14; 14; 7; 16
20-03-16; 13; 13; 10; 13
19-03-16; 25; 18; 13; 27
18-03-16; 49; 48; 32; 53
17-03-16; 42; 58; 24; 59
16-03-16; 26; 34; 16; 35
15-03-16; 25; 18; 15; 26
14-03-16; 33; 29; 20; 36
13-03-16; 27; 26; 11; 25
12-03-16; 20; 17; 14; 28
11-03-16; 46; 27; 26; 50
10-03-16; 51; 40; 30; 64
09-03-16; 32; 30; 20; 45
08-03-16; 40; 34; 17; 64
07-03-16; 21; 24; 8; 41
06-03-16; 15; 23; 9; 22
05-03-16; 27; 41; 18; 29
04-03-16; 22; 32; 11; 29
03-03-16; 22; 29; 9; 29
02-03-16; 15; 23; 11; 19
01-03-16; 30; 27; 18; 38
29-02-16; 35; 36; 20; 43
28-02-16; 52; 61; 29; 54
27-02-16; 33; 56; 23; 41
26-02-16; 29; 38; 13; 43
25-02-16; 22; 25; 15; 31
24-02-16; 12; 13; 8; 20
23-02-16; 10; 13; 4; 14
22-02-16; 6; 7; 3; 8
21-02-16; 4; 3; 4; 4
20-02-16; 13; 23; 10; 18
19-02-16; 38; 52; 20; 55
18-02-16; 27; 30; 12; 41
17-02-16; 25; 31; 10; 47
16-02-16; 16; 17; 8; 20
15-02-16; 19; 21; 8; 26
14-02-16; 10; 31; 5; 23
13-02-16; 30; 62; 13; 34
12-02-16; 23; 38; 13; 31
11-02-16; 9; 10; 5; 16
10-02-16; 7; 11; 3; 13
09-02-16; 8; 8; 3; 10
08-02-16; 7; 13; 4; 9
07-02-16; 20; 21; 24; 15
06-02-16; 16; 16; 14; 13
05-02-16; 13; 15; 10; 17
04-02-16; 9; 9; 6; 12
03-02-16; 9; 17; 7; 19
02-02-16; 6; 9; 3; 7
01-02-16; 7; 8; 3; 15
31-01-16; 7; 7; 5; 15
30-01-16; 7; 9; 4; 10
29-01-16; 16; 20; 8; 23
28-01-16; 19; 18; 11; 23
27-01-16; 12; 22; 18; 20
26-01-16; 15; 21; n. def.; 28
25-01-16; 11; 14; 21; 18
24-01-16; 16; 22; 13; 22
23-01-16; 27; 26; 33; 35
22-01-16; 47; 37; 38; 54
21-01-16; 32; 20; 27; 42
20-01-16; 29; 45; 28; 39
19-01-16; 36; 47; 35; 58
18-01-16; 29; 37; 18; 35
17-01-16; 20; 42; 9; 24
16-01-16; 24; 23; 12; 30
15-01-16; 14; 31; 7; 20
14-01-16; 13; 28; 8; 21
13-01-16; 8; 7; 3; 12
12-01-16; 7; 8; 2; 12
11-01-16; 14; 23; 5; 17
10-01-16; 28; 24; 13; 16
09-01-16; 39; 74; 28; 21
08-01-16; 11; 24; 13; 18
07-01-16; 80; 175; 16; 120
06-01-16; 111; 136; 29; 138
05-01-16; 48; 95; 37; 83
04-01-16; 32; 107; 32; 60
03-01-16; 33; 70; 29; 59
02-01-16; 16; 64; 11; 40
01-01-16; 30; 29; 46; 70

Datum Zeit; Leipzig-Mitte PM10; Leipzig-West PM10; Niesky PM10; Plauen-Sued PM10
; µg/m³; µg/m³; µg/m³; µg/m³
06-08-16; n. def.; n. def.; 11; n. def.
05-08-16; n. def.; n. def.; n. def.; n. def.
04-08-16; n. def.; n. def.; 10; n. def.
03-08-16; n. def.; n. def.; 6; n. def.
02-08-16; n. def.; n. def.; 7; n. def.
01-08-16; n. def.; n. def.; 7; n. def.
31-07-16; n. def.; n. def.; 10; n. def.
30-07-16; n. def.; n. def.; 7; n. def.
29-07-16; n. def.; n. def.; 10; n. def.
28-07-16; n. def.; n. def.; 17; n. def.
27-07-16; n. def.; n. def.; 18; n. def.
26-07-16; n. def.; n. def.; 20; n. def.
25-07-16; n. def.; n. def.; 18; n. def.
24-07-16; n. def.; n. def.; 17; n. def.
23-07-16; n. def.; n. def.; 14; n. def.
22-07-16; n. def.; n. def.; 15; n. def.
21-07-16; n. def.; n. def.; 13; n. def.
20-07-16; n. def.; n. def.; 9; n. def.
19-07-16; n. def.; n. def.; 7; 15
18-07-16; 15; 10; 9; 16
17-07-16; 12; 12; 12; 15
16-07-16; 16; 12; 11; 19
15-07-16; 12; 7; 5; 8
14-07-16; 13; 10; n. def.; 10
13-07-16; 17; 11; 11; 14
12-07-16; 21; 19; 14; 18
11-07-16; 21; 23; 11; 30
10-07-16; 16; 13; 9; 11
09-07-16; 16; 12; 8; 12
08-07-16; 23; 15; 11; 19
07-07-16; 16; 9; 7; 9
06-07-16; 12; 12; 7; 8
05-07-16; 18; 12; 8; 12
04-07-16; 16; 9; 7; 8
03-07-16; 9; 6; 7; 7
02-07-16; 12; 8; 7; 9
01-07-16; 18; 13; n. def.; 12
30-06-16; 18; 12; 8; 20
29-06-16; 15; 10; 7; 13
28-06-16; 15; 10; 8; 23
27-06-16; 15; 10; 10; 11
26-06-16; 12; 9; 8; 7
25-06-16; 22; 16; 25; 15
24-06-16; 26; 20; 19; 21
23-06-16; 20; 15; 12; 15
22-06-16; 16; 10; 8; 15
21-06-16; 14; 8; 9; 8
20-06-16; 19; 11; 11; 15
19-06-16; 14; 10; 8; 9
18-06-16; 14; 8; 5; 9
17-06-16; 13; 8; 7; 8
16-06-16; 17; 8; 8; 15
15-06-16; 17; 8; 5; 15
14-06-16; 16; 11; 8; 12
13-06-16; 20; 15; 12; 10
12-06-16; 18; 15; 13; 10
11-06-16; 22; 17; 14; 13
10-06-16; 22; 14; 13; 14
09-06-16; 24; 17; n. def.; 20
08-06-16; 29; 21; n. def.; 17
07-06-16; 22; 15; n. def.; 16
06-06-16; 26; 19; n. def.; 20
05-06-16; 29; 22; n. def.; 18
04-06-16; 28; 21; 18; 17
03-06-16; 21; 33; 14; 15
02-06-16; 17; 11; 9; 15
01-06-16; 23; 15; 12; 14
31-05-16; 18; 10; 11; 9
30-05-16; 22; 11; 13; 8
29-05-16; 23; 21; 14; 22
28-05-16; 25; 20; 12; 31
27-05-16; 38; 28; 17; 28
26-05-16; 38; 28; 18; 16
25-05-16; 31; 21; 10; 15
24-05-16; 22; 15; 11; 8
23-05-16; 18; 9; 16; 10
22-05-16; 16; 13; 13; 13
21-05-16; 21; 13; 12; 12
20-05-16; 22; 11; 15; 12
19-05-16; 25; 15; n. def.; 14
18-05-16; 28; 15; n. def.; 18
17-05-16; 22; 13; 7; 15
16-05-16; 9; 6; 4; 7
15-05-16; 9; 6; 4; 6
14-05-16; 21; 13; 10; 15
13-05-16; 22; 15; n. def.; 22
12-05-16; 24; 19; n. def.; 21
11-05-16; 23; 18; 11; 19
10-05-16; 19; 15; 10; 18
09-05-16; 18; 13; 9; 16
08-05-16; 16; 13; 10; 12
07-05-16; 20; 16; 14; 17
06-05-16; 21; 15; 16; 20
05-05-16; 18; 14; 13; 14
04-05-16; 19; 14; 11; 15
03-05-16; 29; 17; 15; 21
02-05-16; 22; 17; 15; 25
01-05-16; 23; 18; 17; 33
30-04-16; 22; 15; 20; 38
29-04-16; 19; 12; 8; 16
28-04-16; 16; 8; 6; 9
27-04-16; 15; 7; 6; 9
26-04-16; 10; 5; 5; 6
25-04-16; 15; 7; 6; 9
24-04-16; 11; 6; 5; 7
23-04-16; 18; 12; 10; 20
22-04-16; 25; 15; 12; 25
21-04-16; 45; 26; 14; 21
20-04-16; 26; 17; 9; 18
19-04-16; 28; 17; 11; 21
18-04-16; 26; 12; 9; 14
17-04-16; 14; 11; 5; 8
16-04-16; 11; 6; 7; 10
15-04-16; 24; 15; 12; 14
14-04-16; 37; 27; 11; 26
13-04-16; 36; 26; 15; 23
12-04-16; 44; 28; 28; 27
11-04-16; 29; 23; 15; 30
10-04-16; 21; 17; 8; 19
09-04-16; 31; 20; 15; 21
08-04-16; 24; 11; 8; 20
07-04-16; 18; 7; 7; 13
06-04-16; 24; 12; 9; 14
05-04-16; 50; 35; 31; 28
04-04-16; 63; 43; 21; 34
03-04-16; 31; 25; 14; 25
02-04-16; 24; 16; 13; 18
01-04-16; 18; 13; 6; 14
31-03-16; 18; 12; 10; 23
30-03-16; 15; 6; 4; 8
29-03-16; 14; 6; 4; 7
28-03-16; 10; 5; 11; 7
27-03-16; 16; 11; 15; 9
26-03-16; 20; 15; 13; 11
25-03-16; 24; 20; 22; 20
24-03-16; 35; 25; 14; 19
23-03-16; 26; 17; 12; 12
22-03-16; 20; 13; 8; 15
21-03-16; 16; 9; 8; 10
20-03-16; 15; 9; 9; 12
19-03-16; 28; 18; 15; 23
18-03-16; 49; 38; 25; 48
17-03-16; 49; 35; 27; 45
16-03-16; 26; 21; 22; 35
15-03-16; 22; 19; 14; 29
14-03-16; 29; 21; 19; 40
13-03-16; 22; 18; 19; 26
12-03-16; 24; 19; 13; 27
11-03-16; 45; 35; 21; 57
10-03-16; 56; 48; 29; 68
09-03-16; 40; 31; 21; 30
08-03-16; 59; 45; 21; 34
07-03-16; 32; 22; 8; 12
06-03-16; 21; 18; 14; 8
05-03-16; 28; 17; 24; 21
04-03-16; 26; 18; 12; 15
03-03-16; 28; 15; 8; 16
02-03-16; 20; 11; 19; 18
01-03-16; 32; 25; 21; 27
29-02-16; 39; 33; 28; 42
28-02-16; 49; 42; 44; 57
27-02-16; 33; 25; 36; 36
26-02-16; 37; 24; 12; 26
25-02-16; 29; 19; 9; 24
24-02-16; 19; 9; 7; 14
23-02-16; 14; 7; 5; 10
22-02-16; 7; 3; 3; 6
21-02-16; 4; 2; 2; 2
20-02-16; 18; 11; 16; 10
19-02-16; 51; 35; 26; 37
18-02-16; 36; 23; 15; 28
17-02-16; 29; 26; 17; 24
16-02-16; 17; 10; 10; 18
15-02-16; 21; 13; 10; 13
14-02-16; 21; 16; 21; 9
13-02-16; 31; 24; 38; 21
12-02-16; 28; 15; 13; 21
11-02-16; 18; 9; 6; 11
10-02-16; 13; 5; 4; 10
09-02-16; 13; 4; 4; 5
08-02-16; 13; 5; 7; 5
07-02-16; 19; 11; 16; 17
06-02-16; 16; 9; 11; 13
05-02-16; 17; 9; 7; 14
04-02-16; 15; 7; 6; 17
03-02-16; 21; 10; 6; 8
02-02-16; 8; 3; 3; 13
01-02-16; 12; 7; 3; 7
31-01-16; 12; 8; 5; 12
30-01-16; 12; 5; 5; 9
29-01-16; 23; 10; 7; 14
28-01-16; 24; 11; 8; 15
27-01-16; 19; 7; 8; 11
26-01-16; 25; 14; 11; 19
25-01-16; 16; 10; 9; 12
24-01-16; 21; 16; 15; 13
23-01-16; 38; 27; 18; 26
22-01-16; 42; 32; 18; 31
21-01-16; 32; 24; 10; 28
20-01-16; 37; 31; 25; 29
19-01-16; 42; 30; 22; 30
18-01-16; 27; 20; 18; 20
17-01-16; 22; 18; 26; 14
16-01-16; 30; 21; 16; 20
15-01-16; 19; 13; 17; 13
14-01-16; 17; 11; 8; 18
13-01-16; 10; 5; 3; 8
12-01-16; 10; 4; 5; 8
11-01-16; 11; 7; 10; 11
10-01-16; 15; 10; 17; 12
09-01-16; 19; 15; 13; 14
08-01-16; 16; 8; 14; 10
07-01-16; 105; 103; 140; 42
06-01-16; 125; 126; 111; 45
05-01-16; 75; 71; 82; 28
04-01-16; 49; 44; 81; 37
03-01-16; 53; 53; 57; 31
02-01-16; 34; 32; 45; 17
01-01-16; 54; 48; 21; 44

Datum Zeit; Radebeul-Wahnsdorf PM10; Schwartenberg PM10; Zittau-Ost PM10; Zwickau-Werdauer Straße PM10
; µg/m³; µg/m³; µg/m³; µg/m³
06-08-16; n. def.; n. def.; n. def.; n. def.
05-08-16; n. def.; n. def.; n. def.; n. def.
04-08-16; n. def.; n. def.; n. def.; n. def.
03-08-16; n. def.; n. def.; n. def.; n. def.
02-08-16; n. def.; n. def.; n. def.; n. def.
01-08-16; n. def.; n. def.; n. def.; n. def.
31-07-16; n. def.; n. def.; n. def.; n. def.
30-07-16; n. def.; n. def.; n. def.; n. def.
29-07-16; n. def.; n. def.; n. def.; n. def.
28-07-16; n. def.; n. def.; n. def.; n. def.
27-07-16; n. def.; n. def.; n. def.; n. def.
26-07-16; n. def.; n. def.; n. def.; n. def.
25-07-16; n. def.; n. def.; n. def.; n. def.
24-07-16; n. def.; n. def.; n. def.; n. def.
23-07-16; n. def.; n. def.; n. def.; n. def.
22-07-16; n. def.; n. def.; n. def.; n. def.
21-07-16; n. def.; n. def.; n. def.; n. def.
20-07-16; n. def.; n. def.; n. def.; n. def.
19-07-16; 10; n. def.; 11; 16
18-07-16; 12; 10; 14; 15
17-07-16; 10; 6; 16; 11
16-07-16; 11; 11; 12; 15
15-07-16; 7; 3; 6; 8
14-07-16; 9; 4; 7; 11
13-07-16; 12; 9; 15; 13
12-07-16; 14; 10; 16; 14
11-07-16; 13; 11; 13; 18
10-07-16; 12; 10; 12; 13
09-07-16; 12; 9; 11; 13
08-07-16; 12; 10; 13; 14
07-07-16; 10; 8; 10; 10
06-07-16; 8; 7; 9; 8
05-07-16; 10; 8; 11; 12
04-07-16; 8; 6; 8; 11
03-07-16; 8; 4; 8; 7
02-07-16; 8; 7; 12; 9
01-07-16; 10; 8; 13; 11
30-06-16; 10; 7; 12; 11
29-06-16; 7; 6; 12; 9
28-06-16; 10; 7; 12; 10
27-06-16; 8; 7; 11; 11
26-06-16; 9; 5; 9; 8
25-06-16; 26; 22; 27; 19
24-06-16; 19; 21; 21; 21
23-06-16; 14; 14; 15; 15
22-06-16; 10; 10; 11; 12
21-06-16; 8; n. def.; 12; 9
20-06-16; 11; 11; 13; 14
19-06-16; 10; 6; 12; 9
18-06-16; 7; 4; 9; 8
17-06-16; 7; 2; 7; 7
16-06-16; 9; 6; 9; 10
15-06-16; 8; 4; 10; 8
14-06-16; 7; 6; 10; 8
13-06-16; 14; 6; 10; 10
12-06-16; 14; 15; 14; 11
11-06-16; 18; 10; 17; 15
10-06-16; 14; 12; 15; 16
09-06-16; 17; 16; 19; 25
08-06-16; 17; 15; 16; 18
07-06-16; 13; 14; 15; 15
06-06-16; 13; 12; 15; 19
05-06-16; 18; 15; 20; 20
04-06-16; 18; 12; 20; 18
03-06-16; 11; 8; 14; 13
02-06-16; 9; 8; 13; 11
01-06-16; n. def.; 10; 15; 17
31-05-16; 10; 6; 12; 10
30-05-16; 13; 10; 15; 11
29-05-16; 16; 22; 19; 25
28-05-16; 15; 12; 18; 26
27-05-16; 20; 15; 23; 31
26-05-16; 21; 16; 19; 23
25-05-16; 23; 8; 15; 19
24-05-16; 12; 2; 13; 14
23-05-16; 11; 10; 18; 12
22-05-16; 15; 17; 17; 14
21-05-16; 13; 10; 20; 13
20-05-16; 11; 8; 15; 12
19-05-16; 15; 15; 16; 18
18-05-16; 15; 10; 19; 15
17-05-16; 12; 8; 10; 16
16-05-16; 6; 5; 6; 7
15-05-16; 6; 4; 7; 7
14-05-16; 13; 12; 14; 16
13-05-16; 14; 15; 16; 21
12-05-16; 16; 15; 24; 20
11-05-16; 15; 16; 22; 21
10-05-16; 13; 16; 18; 18
09-05-16; 13; 11; 23; 14
08-05-16; 12; 10; 27; 16
07-05-16; 15; 16; 32; 19
06-05-16; 15; 14; 25; 20
05-05-16; 15; 12; 20; 17
04-05-16; 12; 4; 11; 17
03-05-16; 16; 12; 21; 19
02-05-16; 19; 14; 21; 24
01-05-16; 40; 19; 52; 36
30-04-16; 22; 11; 40; 58
29-04-16; 11; 8; 16; 13
28-04-16; 8; 5; 11; 11
27-04-16; 7; 2; 9; 9
26-04-16; 5; 4; 8; 5
25-04-16; 7; 4; 12; 8
24-04-16; 7; 5; 8; 7
23-04-16; 15; 10; 13; 21
22-04-16; 16; 14; 17; 23
21-04-16; 25; 20; 21; 22
20-04-16; 15; 14; 15; 18
19-04-16; 18; 13; 18; 20
18-04-16; 13; 8; 14; 16
17-04-16; 10; 5; 10; 13
16-04-16; 6; 5; 9; 7
15-04-16; 14; 15; 15; 16
14-04-16; 24; 20; 16; 30
13-04-16; 16; 8; 26; 17
12-04-16; 29; 18; 37; 26
11-04-16; 23; 18; 28; 31
10-04-16; 12; 8; 12; 20
09-04-16; 20; 15; 28; 23
08-04-16; 12; 10; 18; 18
07-04-16; 8; 6; 16; 12
06-04-16; 10; 6; 16; 14
05-04-16; 40; 39; 42; 31
04-04-16; 36; 26; 38; 35
03-04-16; 18; 21; 20; 29
02-04-16; 14; 16; 19; 22
01-04-16; 11; 6; 11; 15
31-03-16; 12; 7; 21; 18
30-03-16; 7; 5; 13; 10
29-03-16; 5; 4; 9; 9
28-03-16; 5; 2; 14; 6
27-03-16; 15; 10; 16; 10
26-03-16; 20; 6; 15; 16
25-03-16; 23; 13; 33; 21
24-03-16; 24; 12; 20; 25
23-03-16; 17; 10; 19; 17
22-03-16; 12; 7; 12; 17
21-03-16; 11; 4; 10; 11
20-03-16; 11; 7; 14; 12
19-03-16; 20; 8; 12; 26
18-03-16; 34; 34; 37; 50
17-03-16; 31; 25; 41; 41
16-03-16; 26; 18; 35; 27
15-03-16; 16; 13; 16; 26
14-03-16; 22; 19; 26; 36
13-03-16; 22; 7; 24; 27
12-03-16; 15; 9; 17; 22
11-03-16; 27; 24; 26; 53
10-03-16; 42; 31; 38; 58
09-03-16; 27; 21; 37; 29
08-03-16; 34; 21; 45; 41
07-03-16; 11; 5; 16; 19
06-03-16; 14; 8; 14; 11
05-03-16; 27; 27; 30; 25
04-03-16; 14; 11; 25; 15
03-03-16; 12; 5; 21; 19
02-03-16; 16; 7; 26; 11
01-03-16; 25; 9; 26; 30
29-02-16; 34; 15; 25; 38
28-02-16; 48; 33; 49; 58
27-02-16; 20; 20; 33; 39
26-02-16; 18; 9; 22; 28
25-02-16; 14; 9; 23; 20
24-02-16; 8; 2; 11; 11
23-02-16; 7; 2; 7; 8
22-02-16; 3; 2; 4; 6
21-02-16; 2; 2; 5; 2
20-02-16; 11; 6; 18; 10
19-02-16; 29; 22; 36; 33
18-02-16; 17; 15; 24; 26
17-02-16; 23; 9; 31; 24
16-02-16; 12; 5; 16; 16
15-02-16; 11; 6; 17; 17
14-02-16; 10; 7; 18; 6
13-02-16; 17; 17; 46; 25
12-02-16; 12; 8; 27; 17
11-02-16; 7; 4; 11; 9
10-02-16; 6; 3; 5; 5
09-02-16; 2; 2; 5; 6
08-02-16; 4; 4; 9; 5
07-02-16; 19; 14; 20; 14
06-02-16; 10; 6; 14; 11
05-02-16; 10; 4; 8; 11
04-02-16; 7; 4; 7; 8
03-02-16; 9; 4; 8; 11
02-02-16; 4; 2; 5; 5
01-02-16; 5; 3; 8; 8
31-01-16; 6; 2; 7; 6
30-01-16; 4; 3; 7; 6
29-01-16; 9; 5; 16; 14
28-01-16; 9; 6; 14; 17
27-01-16; 8; 5; 15; 13
26-01-16; 13; 8; 16; 17
25-01-16; 7; 2; 18; 8
24-01-16; 18; 5; 21; 12
23-01-16; 29; 13; 27; 26
22-01-16; n. def.; 20; 31; 30
21-01-16; n. def.; 9; 18; 31
20-01-16; 28; 12; n. def.; 30
19-01-16; 28; 18; 55; 29
18-01-16; 24; 11; 55; 27
17-01-16; 22; 11; 33; 20
16-01-16; 24; 12; 28; 23
15-01-16; 15; 5; 21; 11
14-01-16; 11; 8; 13; 11
13-01-16; 4; 2; 5; 4
12-01-16; 5; 2; 9; 5
11-01-16; 11; 4; 26; 9
10-01-16; 25; 10; 21; 12
09-01-16; 21; n. def.; 23; 35
08-01-16; 9; 5; 16; 11
07-01-16; 82; 8; 80; 68
06-01-16; 115; 16; 62; 117
05-01-16; 54; 18; 43; 36
04-01-16; 33; 32; 30; 33
03-01-16; 47; 30; 62; 30
02-01-16; 38; 7; 59; 19
01-01-16; 44; 5; 42; 26

