Datum Zeit; Annaberg-Buchholz PM10; Bautzen PM10; Borna PM10; Brockau PM10
; µg/m³; µg/m³; µg/m³; µg/m³
02-03-16; n. def.; 21; 12; 9
01-03-16; n. def.; 25; 29; 25
29-02-16; n. def.; 31; 44; 32
28-02-16; n. def.; 48; 49; 48
27-02-16; n. def.; 31; 28; 28
26-02-16; n. def.; 24; 25; 19
25-02-16; n. def.; 16; 21; 15
24-02-16; n. def.; 10; 12; 7
23-02-16; n. def.; 10; 10; 3
22-02-16; n. def.; 5; 4; 3
21-02-16; n. def.; 4; 2; 2
20-02-16; n. def.; 16; 11; 8
19-02-16; n. def.; 32; 37; 25
18-02-16; n. def.; 23; 27; 22
17-02-16; n. def.; 25; 31; 17
16-02-16; n. def.; 17; 12; 12
15-02-16; n. def.; 17; 14; 8
14-02-16; n. def.; 21; 12; 4
13-02-16; n. def.; 34; 26; 15
12-02-16; n. def.; 17; 18; 11
11-02-16; n. def.; 9; 10; 5
10-02-16; n. def.; 7; 7; 3
09-02-16; n. def.; 6; 6; 2
08-02-16; n. def.; 10; 6; 3
07-02-16; n. def.; 19; 14; 12
06-02-16; n. def.; 13; 10; 10
05-02-16; n. def.; 12; 12; 8
04-02-16; n. def.; 9; 8; 5
03-02-16; n. def.; 9; 12; 5
02-02-16; n. def.; 5; 5; 2
01-02-16; n. def.; 6; 9; 4
31-01-16; n. def.; 7; 7; 5
30-01-16; n. def.; 7; 6; 4
29-01-16; n. def.; 11; 13; 9
28-01-16; n. def.; 13; 14; 7
27-01-16; n. def.; 10; 11; 8
26-01-16; n. def.; 15; 16; 14
25-01-16; n. def.; 11; 11; 6
24-01-16; n. def.; 18; 14; 10
23-01-16; n. def.; 21; 28; 23
22-01-16; n. def.; 22; 45; 18
21-01-16; n. def.; 15; 25; 20
20-01-16; n. def.; 31; 33; 26
19-01-16; n. def.; 32; 29; 20
18-01-16; n. def.; 25; 28; 17
17-01-16; n. def.; 24; 17; 12
16-01-16; n. def.; 24; 25; 15
15-01-16; n. def.; 19; 13; 6
14-01-16; n. def.; 13; 14; 8
13-01-16; n. def.; 6; 5; 3
12-01-16; n. def.; 6; 5; 2
11-01-16; n. def.; 14; 11; 3
10-01-16; n. def.; 22; 14; 7
09-01-16; n. def.; 15; 23; 9
08-01-16; n. def.; 9; 11; 7
07-01-16; n. def.; 97; 113; 36
06-01-16; n. def.; 115; 128; 64
05-01-16; n. def.; 61; 67; 18
04-01-16; n. def.; 35; 39; 27
03-01-16; n. def.; 64; 53; 26
02-01-16; n. def.; 51; 34; 16
01-01-16; n. def.; 27; 33; 15

Datum Zeit; Carlsfeld PM10; Chemnitz-Leipziger Str. PM10; Chemnitz-Mitte PM10; Collmberg PM10
; µg/m³; µg/m³; µg/m³; µg/m³
06-08-16; n. def.; n. def.; n. def.; n. def.
05-08-16; 6; n. def.; n. def.; n. def.
04-08-16; 10; n. def.; n. def.; n. def.
03-08-16; 4; n. def.; n. def.; n. def.
02-08-16; 5; n. def.; n. def.; n. def.
01-08-16; 6; n. def.; n. def.; n. def.
31-07-16; 6; n. def.; n. def.; n. def.
30-07-16; 6; n. def.; n. def.; n. def.
29-07-16; 7; n. def.; n. def.; n. def.
28-07-16; 11; n. def.; n. def.; n. def.
27-07-16; 12; n. def.; n. def.; n. def.
26-07-16; 17; n. def.; n. def.; n. def.
25-07-16; 15; n. def.; n. def.; n. def.
24-07-16; 13; n. def.; n. def.; n. def.
23-07-16; 13; n. def.; n. def.; n. def.
22-07-16; 11; n. def.; n. def.; n. def.
21-07-16; 7; n. def.; n. def.; n. def.
20-07-16; 8; n. def.; n. def.; n. def.
19-07-16; 8; n. def.; n. def.; n. def.
18-07-16; 8; 22; 13; 9
17-07-16; 9; 13; 9; 10
16-07-16; 9; 16; 12; 10
15-07-16; 4; 12; 7; 5
14-07-16; 5; 14; 8; 7
13-07-16; 7; 16; 11; 9
12-07-16; 8; 20; 13; 14
11-07-16; 10; 22; 14; 14
10-07-16; 7; 14; 10; 10
09-07-16; 11; 16; 12; 10
08-07-16; 10; 20; 13; 11
07-07-16; 7; 15; 9; 8
06-07-16; 6; 12; 8; 8
05-07-16; 7; 18; 13; 10
04-07-16; 5; 15; 8; 8
03-07-16; 5; 10; 7; 8
02-07-16; 6; 13; 9; 9
01-07-16; 7; 25; 10; 9
30-06-16; 5; 17; 11; 8
29-06-16; 5; 17; 9; 8
28-06-16; 5; 14; 9; 9
27-06-16; 5; 15; 8; 7
26-06-16; 5; 11; 8; 7
25-06-16; 15; 24; 20; 20
24-06-16; 12; 26; 22; 16
23-06-16; 8; 22; 16; 13
22-06-16; 5; 16; 10; 7
21-06-16; 4; 15; 8; 6
20-06-16; 6; 15; 12; 10
19-06-16; 5; 10; 8; 9
18-06-16; 3; 10; 7; 6
17-06-16; 3; 11; 6; 6
16-06-16; 5; 13; 10; 7
15-06-16; 4; 15; 7; 7
14-06-16; 5; 16; 8; 8
13-06-16; 4; 20; 9; 10
12-06-16; 7; 15; 11; 11
11-06-16; 7; 21; 14; 14
10-06-16; 11; 21; 14; 13
09-06-16; 14; 25; 19; 17
08-06-16; 10; 28; 19; 19
07-06-16; 8; 16; 13; 12
06-06-16; 10; 22; 17; 16
05-06-16; 12; 22; 18; 18
04-06-16; 10; 20; 16; 17
03-06-16; 7; 17; 11; 12
02-06-16; 7; 16; 10; 9
01-06-16; 7; 32; 18; 11
